"Station Name","OSI/NI No","Eastings","Northings","Height","FB Sort","FB No","Date built","Ord","DR","Grid Ref","Notes"
"Lackagh","OSI",193100,332100,449,,0004,"OSI","U",".026 .126","G 931 321",
"Hill of Ushnagh","OSI",229100,248940,182,,0006,"OSI","U",".048","N 291 489",
"Loughan Leigh","P20 OSI",272186,295983,339,,0007,"OSI",1,".035","N 721 959",
"Howth Head","P29 OSI",328546,237617,171,,0009,"OSI",1,".150","O 285 376",
"Kippure New","P35 OSI",311581,215440,757,,0010,"OSI",1,".156","O 115 154",
"Tara Hill","P? OSI",320534,162330,305,,0012,"OSI",1,".162","T 205 623",
"Forth Mountain","P52 OSI",298084,119200,289,,0013,"OSI",1,".177","S 980 192",
"Dunloy","OSNI",300620.953,418392.408,"H",,2056,"OSNI",2,".008","D 006 183","R  H"
"Carnmore New","P13 OSNI",247377.831,335807.641,305,,2057,"tbc",1,".027 .128","H 473 358",
"Cairngaver","OSNI",345420,376550,217,,2058,"tbc",2,".015","J 454 765",
"Braniel Hill","OSNI",339070,371460,178,,2059,"tbc",3,".015","J 390 714",
"Ouley","OSNI",338260,362690,181,,2060,"tbc",2,".020","J 382 626","X1"
"Tullyard","OSNI",331630,363250,161,,2061,"tbc",3,".020","J 316 632",
"Magheraknock Fort","OSNI",334430,355920,145,,2062,"tbc",3,".020","J 344 559",
"Clogher","OSNI",229550,340500,"H",,2063,"tbc",3,".018","H 295 405","H"
"Garvaghy","OSNI",320807.892,347768.696,200,,2064,"tbc",2,".020","J 208 477",
"Vicars Carn","OSNI",291400,339740,248,,2065,"tbc",3,".028 .128","H 914 397",
"Tully","OSNI",300950,402840,199,,2066,"tbc",3,".008","D 009 028",
"Crew Hill","OSNI",318170,370280,191,,2067,"tbc",3,".014","J 181 702",
"Collin Mountain","OSNI",326110,370560,328,,2068,"tbc",3,".015","J 261 705",
"Carn Hill","OSNI",334660,389110,312,,2069,"tbc",3,".015","J 346 891",
"Morris Hill","OSNI",304460,388660,103,,2070,"tbc",2,".014","J 044 886",
"Browndod","OSNI",320640,392230,262,,2071,"tbc",3,".014","J 206 922",
"Slemish","OSNI",322160,405400,438,,2072,"tbc",2,".009","D 221 054","X"
"Knocklayd ","P02 OSNI",311517.853,436392.085,514,,2074,"tbc",1,".005","D 115 363",
"Slieve Croob","OSNI",331850,345370,534,,2075,"tbc",2,".020","J 318 453",
"Cuilcagh","P12 OSNI",212352.287,328008.448,666,,2076,"tbc",1,".026 .126 .127","H 123 280",
"Crockinagoe","P07 OSNI",212474.612,372398.92,352,,2077,"tbc",1,".012","H 124 723",
"Slieve Snaght","P01 OSNI",242444.23,439017.225,615,,2078,"tbc",1,".103","C 424 390","E"
"Knockore","OSNI",327596,422614,359,,2079,"tbc",2,".009","D 275 226",
"Sawel","P04 OSNI",261793.336,397299.493,678,,2080,"tbc",1,".013","H 617 972",
"Ballywhite","OSNI",358160,352780,"H",,2081,"tbc",3,".021","J 581 527","H"
"Tara Fort","OSNI",362680,348490,50,,2082,"tbc",2,".021","J 626 484",
"Windmill Hill","OSNI",364140,362690,44,,2083,"tbc",2,".021","J 641 626",
"Castlemahon","OSNI",355560,347240,120,,2084,"tbc",2,".021","J 555 472",
"Scollogs","OSNI",347180,337970,76,,2085,"tbc",2,".021","J 471 379",
"Farranfad","OSNI",341880,341760,43,,2086,"tbc",2,".021","J 418 417",
"Craigs Rocks","OSNI",347540,349510,81,,2087,"tbc",3,".021","J 475 495",
"Ballykeel Fort","OSNI",326370,353260,155,,2088,"tbc",3,".020","J 263 532",
"Forkhill ","OSNI",302380,315350,317,,2090,"tbc",3,".029 .136","J 023 153","X"
"Carran","OSNI",291230,316690,160,,2091,"tbc",3,".028 .128","H 912 166",
"Fort Hill","OSNI",320330,356500,150,,2092,"tbc",3,".020","J 203 565",
"Ballyboghilbo","OSNI",359455,368200,"H",,2093,"tbc",3,".015 .021","J 594 682","X  H"
"Muldersleigh","OSNI",347950,393800,131,,2094,"tbc",2,".015","J 479 938",
