medal_id,tier_level,tier_name,threshold
1,1,I,1
1,2,II,10
1,3,III,50
1,4,IV,100
1,5,V,500
1,6,VI,1000
1,7,VII,2500
1,8,VIII,5000
1,9,IX,10000
2,1,I,1
2,2,II,10
2,3,III,50
2,4,IV,100
2,5,V,500
2,6,VI,1000
2,7,VII,2500
2,8,VIII,5000
3,1,I,1
3,2,II,10
3,3,III,50
3,4,IV,100
3,5,V,500
4,1,I,1
4,2,II,2
4,3,III,5
4,4,IV,10
4,5,V,15
4,6,VI,20
5,1,I,1
5,2,II,10
5,3,III,50
5,4,IV,100
5,5,V,500
5,6,VI,1000
6,1,I,1
6,2,II,10
6,3,III,50
6,4,IV,100
6,5,V,500
7,1,I,1
7,2,II,10
7,3,III,50
7,4,IV,100
7,5,V,500
8,1,I,3
8,2,II,7
8,3,III,14
8,4,IV,30
8,5,V,60
8,6,VI,100
9,1,I,4
9,2,II,13
9,3,III,26
9,4,IV,52
9,5,V,104
10,1,I,3
10,2,II,6
10,3,III,12
10,4,IV,24
10,5,V,60
11,1,I,2
11,2,II,5
11,3,III,10
11,4,IV,15
11,5,V,20
12,1,Awarded,1
13,1,Awarded,1
14,1,Awarded,1
15,1,Bronze,3
15,2,Silver,5
15,3,Gold,7
16,1,Bronze,4
16,2,Silver,8
16,3,Gold,12
17,1,I,5
17,2,II,10
17,3,III,20
17,4,IV,30
17,5,V,40
17,6,VI,50
18,1,Bronze,2
18,2,Silver,3
18,3,Gold,4
19,1,I,5
19,2,II,10
19,3,III,25
19,4,IV,50
19,5,V,100
20,1,I,5
20,2,II,10
20,3,III,25
20,4,IV,50
20,5,V,100
21,1,I,5
21,2,II,10
21,3,III,20
21,4,IV,30
21,5,V,40
22,1,Bronze,10
22,2,Silver,18
22,3,Gold,26
23,1,Bronze,3
23,2,Silver,5
23,3,Gold,8
24,1,Bronze,2
24,2,Silver,3
24,3,Gold,4
25,1,Bronze,3
25,2,Silver,5
25,3,Gold,7
26,1,I,1
26,2,II,10
26,3,III,50
26,4,IV,100
26,5,V,500
27,1,I,1
27,2,II,10
27,3,III,50
27,4,IV,100
27,5,V,250
28,1,I,1
28,2,II,10
28,3,III,50
28,4,IV,100
29,1,Bronze,2
29,2,Silver,3
29,3,Gold,4
